county,county,school_district,full_time_employees,average_salary,step_10,median_1br_annual,average_salary_spent_on_rent,step_10_salary_spent_on_1br
37,San Diego County,OCEANSIDE CITY UNIFIED,880.44,76339,71070,16200,0.21,0.23
43,Santa Clara County,CUPERTINO UNION ELEMENTARY,865.71,78280,80582,26640,0.34,0.33
19,Los Angeles County,WILLIAM S. HART UNION HIGH,853,75163,70840,19800,0.26,0.28
30,Orange County,ANAHEIM ELEMENTARY,841.87,85962,86032,18600,0.22,0.22
19,Los Angeles County,NORWALK-LA MIRADA UNIFIED,838.55,80236,74441,19800,0.25,0.27
33,Riverside County,VAL VERDE UNIFIED,824,75804,75834,11760,0.16,0.16
33,Riverside County,COACHELLA VALLEY UNIFIED,817,76521,73691,11760,0.15,0.16
43,Santa Clara County,PALO ALTO UNIFIED,809.51,95811,91635,26640,0.28,0.29
7,Contra Costa County,ANTIOCH UNIFIED,798.9,72849,68937,19800,0.27,0.29
19,Los Angeles County,ALHAMBRA UNIFIED,795.02,73025,69575,19800,0.27,0.28
49,Sonoma County,SANTA ROSA CITY SCHOOLS,790.7,70046,65943,18480,0.26,0.28
37,San Diego County,GROSSMONT UNION HIGH,784.39,75945,73025,16200,0.21,0.22
56,Ventura County,SIMI VALLEY UNIFIED,782.6,68764,66135,17760,0.26,0.27
56,Ventura County,VENTURA UNIFIED,781.41,68275,64259,17760,0.26,0.28
15,*Kern County,PANAMA-BUENA VISTA UN ELEMENTARY,780.73,67421,64251,8160,0.12,0.13
19,Los Angeles County,PASADENA UNIFIED,780,69578,60566,19800,0.28,0.33
19,Los Angeles County,PALMDALE ELEMENTARY,779,71737,69045,19800,0.28,0.29
43,Santa Clara County,SANTA CLARA UNIFIED,778.45,85112,84312,26640,0.31,0.32
56,Ventura County,OXNARD ELEMENTARY,765.06,74334,74385,17760,0.24,0.24
37,San Diego County,CAJON VALLEY UNION ELEMENTARY,755.71,73966,70121,16200,0.22,0.23
33,Riverside County,ALVORD UNIFIED,737,85668,78914,11760,0.14,0.15
51,Sutter County,YUBA CITY UNIFIED,719.47,64165,64057,7440,0.12,0.12
39,San Joaquin County,TRACY JOINT UNIFIED,712.8,68082,63770,8640,0.13,0.14
27,Monterey County,SALINAS UNION HIGH,712.49,69796,70257,14880,0.21,0.21
10,Fresno County,CENTRAL UNIFIED,710.19,67520,61731,8400,0.12,0.14
19,Los Angeles County,PARAMOUNT UNIFIED,695.05,78473,72924,19800,0.25,0.27
56,Ventura County,OXNARD UNION HIGH,679.5,78948,84327,17760,0.22,0.21
42,Santa Barbara County,SANTA MARIA-BONITA ELEMENTARY,676.55,78953,79592,16920,0.21,0.21
19,Los Angeles County,LYNWOOD UNIFIED,676,73242,74995,19800,0.27,0.26
19,Los Angeles County,BURBANK UNIFIED,672.6,76762,72178,19800,0.26,0.27
19,Los Angeles County,ROWLAND UNIFIED,669.4,77333,73548,19800,0.26,0.27
30,Orange County,HUNTINGTON BEACH UNION HIGH,663.66,86034,88671,18600,0.22,0.21
19,Los Angeles County,BALDWIN PARK UNIFIED,655.7,82420,68513,19800,0.24,0.29
4,Butte County,CHICO UNIFIED,643.63,64053,55362,8160,0.13,0.15
54,Tulare County,PORTERVILLE UNIFIED,640,75802,70374,6600,0.09,0.09
42,Santa Barbara County,SANTA BARBARA UNIFIED,634.69,71865,73826,16920,0.24,0.23
50,Stanislaus County,TURLOCK UNIFIED,631.5,75122,70984,8880,0.12,0.13
1,Alameda County,LIVERMORE VALLEY JOINT UNIFIED,629.34,72049,70262,23280,0.32,0.33
1,Alameda County,BERKELEY UNIFIED,624.9,71133,70418,23280,0.33,0.33
19,Los Angeles County,LANCASTER ELEMENTARY,624,71577,68826,19800,0.28,0.29
36,San Bernardino County,ETIWANDA ELEMENTARY,623.16,77192,72557,10680,0.14,0.15
1,Alameda County,PLEASANTON UNIFIED,610.54,89522,83191,23280,0.26,0.28
19,Los Angeles County,BELLFLOWER UNIFIED,607,73462,71420,19800,0.27,0.28
48,Solano County,VALLEJO CITY UNIFIED,604.9,61264,57812,14640,0.24,0.25
1,Alameda County,NEW HAVEN UNIFIED,604.35,88820,85354,23280,0.26,0.27
